entity_type,code,name,slug,url,region_code,province_code,category,is_active,sort_order,keywords
attraction,BAL-005,Rumi's Father's House (Madrasa),rumi-home-madrasa,/attractions/rumi-home-madrasa,NORTH,BAL,Spiritual & Religious,1,5,Rumi's Father's House (Madrasa) BAL-005 BAL Spiritual & Religious
attraction,KBL-004,Shah-e-Du Shamshira Mosque,shah-e-du-shamshira,/attractions/shah-e-du-shamshira,CENTRAL,KBL,Spiritual & Religious,1,5,Shah-e-Du Shamshira Mosque KBL-004 KBL Spiritual & Religious
attraction,KBL-012,Taq-e-Zafar Paghman,taq-e-zafar-paghman,/attractions/taq-e-zafar-paghman,CENTRAL,KBL,Landmarks,1,5,Taq-e-Zafar Paghman KBL-012 KBL Landmarks
attraction,BAL-003,Tomb of Rabia Balkhi,tomb-of-rabia-balkhi,/attractions/tomb-of-rabia-balkhi,NORTH,BAL,Landmarks,1,5,Tomb of Rabia Balkhi BAL-003 BAL Landmarks
attraction,WRD-001,Wardak Highlands,wardak-highlands-villages,/attractions/wardak-highlands-villages,CENTRAL,WRD,Rural,1,5,Wardak Highlands WRD-001 WRD Rural
attraction,KBL-003,Babur's Gardens,baburs-gardens-bagh-e-babur,/attractions/baburs-gardens-bagh-e-babur,CENTRAL,KBL,Landmarks,1,6,Babur's Gardens KBL-003 KBL Landmarks
attraction,BDK-001,Badakhshan Mountains & Lakes,badakhshan-mountains-lakes,/attractions/badakhshan-mountains-lakes,NORTH,BDK,Nature & Adventure,1,6,Badakhshan Mountains & Lakes BDK-001 BDK Nature & Adventure
attraction,GHZ-002,Bala Hisar of Ghazni,bala-hisar-of-ghazni,/attractions/bala-hisar-of-ghazni,CENTRAL,GHZ,Landmarks,1,6,Bala Hisar of Ghazni GHZ-002 GHZ Landmarks
attraction,NRS-002,Bashgal Valley,bashgal-valley,/attractions/bashgal-valley,EAST,NRS,Bazaars & Artisans,1,6,Bashgal Valley NRS-002 NRS Bazaars & Artisans
attraction,SAM-002,Buddhist Cave Monasteries,samangan-buddha-caves,/attractions/samangan-buddha-caves,NORTH,SAM,Ancient Civilizations,1,6,Buddhist Cave Monasteries SAM-002 SAM Ancient Civilizations
attraction,KBL-007,Chicken Street,chicken-street,/attractions/chicken-street,CENTRAL,KBL,Bazaars & Artisans,1,6,Chicken Street KBL-007 KBL Bazaars & Artisans
attraction,BMY-006,Dragon Valley,dragon-valley-dara-e-ajdahar,/attractions/dragon-valley-dara-e-ajdahar,CENTRAL,BMY,Nature & Adventure,1,6,Dragon Valley BMY-006 BMY Nature & Adventure
attraction,NGH-003,Hadda Archaeological Site,hadda-archaeological-site,/attractions/hadda-archaeological-site,EAST,NGH,Ancient Civilizations,1,6,Hadda Archaeological Site NGH-003 NGH Ancient Civilizations
attraction,KBL-018,Khurd-Kabul Pass,khurd-kabul-pass-1842,/attractions/khurd-kabul-pass-1842,CENTRAL,KBL,Ancient Civilizations,1,6,Khurd-Kabul Pass KBL-018 KBL Ancient Civilizations
attraction,NRS-001,Parun Valley,parun-valley,/attractions/parun-valley,EAST,NRS,Rural,1,6,Parun Valley NRS-001 NRS Rural
attraction,PJR-002,Paryan Valley,paryan-valley-trek,/attractions/paryan-valley-trek,CENTRAL,PJR,Nature & Adventure,1,6,Paryan Valley PJR-002 PJR Nature & Adventure
attraction,BAL-006,Qala-i-Jangi Fortress,qalai-jangi-fortress,/attractions/qalai-jangi-fortress,NORTH,BAL,Landmarks,1,6,Qala-i-Jangi Fortress BAL-006 BAL Landmarks
attraction,KDR-002,Shrine of Mirwais Hotak,shrine-of-mirwais-hotak,/attractions/shrine-of-mirwais-hotak,SOUTH,KDR,Spiritual & Religious,1,6,Shrine of Mirwais Hotak KDR-002 KDR Spiritual & Religious
attraction,BAG-001,Surkh Kotal,surkh-kotal,/attractions/surkh-kotal,NORTH,BAG,Ancient Civilizations,1,6,Surkh Kotal BAG-001 BAG Ancient Civilizations
attraction,KBL-009,TV Tower Hill (Mount Asmai),tv-tower-hill-asmai,/attractions/tv-tower-hill-asmai,CENTRAL,KBL,Urban,1,6,TV Tower Hill (Mount Asmai) KBL-009 KBL Urban
attraction,JOW-001,Tala Tepe,tala-tepe,/attractions/tala-tepe,NORTH,JOW,Ancient Civilizations,1,6,Tala Tepe JOW-001 JOW Ancient Civilizations
attraction,GHZ-004,Tapa Sardar,tapa-sardar-archaeological-site,/attractions/tapa-sardar-archaeological-site,CENTRAL,GHZ,Ancient Civilizations,1,6,Tapa Sardar GHZ-004 GHZ Ancient Civilizations
attraction,KBL-014,Tape Nader Khan,tape-nader-khan,/attractions/tape-nader-khan,CENTRAL,KBL,Landmarks,1,6,Tape Nader Khan KBL-014 KBL Landmarks
attraction,GHZ-003,Tomb of Sultan Mahmud,tomb-of-sultan-mahmud-ghaznavi,/attractions/tomb-of-sultan-mahmud-ghaznavi,CENTRAL,GHZ,Spiritual & Religious,1,6,Tomb of Sultan Mahmud GHZ-003 GHZ Spiritual & Religious
attraction,PJR-001,Ahmad Shah Massoud Mausoleum,massoud-mausoleum,/attractions/massoud-mausoleum,CENTRAL,PJR,Landmarks,1,7,Ahmad Shah Massoud Mausoleum PJR-001 PJR Landmarks
attraction,TKH-001,Ai-Khanoum,ai-khanoum,/attractions/ai-khanoum,NORTH,TKH,Ancient Civilizations,1,7,Ai-Khanoum TKH-001 TKH Ancient Civilizations
attraction,KDR-003,Baba Wali Shrine,baba-wali-shrine,/attractions/baba-wali-shrine,SOUTH,KDR,Spiritual & Religious,1,7,Baba Wali Shrine KDR-003 KDR Spiritual & Religious
attraction,GHZ-001,Ghazni Minarets,ghazni-minarets,/attractions/ghazni-minarets,CENTRAL,GHZ,Ancient Civilizations,1,7,Ghazni Minarets GHZ-001 GHZ Ancient Civilizations
attraction,BAL-004,Haji Piyada (Nine Domes) Mosque,haji-piyada-nine-domes,/attractions/haji-piyada-nine-domes,NORTH,BAL,Ancient Civilizations,1,7,Haji Piyada (Nine Domes) Mosque BAL-004 BAL Ancient Civilizations
attraction,BDK-003,Mount Noshaq,mt-noshaq,/attractions/mt-noshaq,NORTH,BDK,Nature & Adventure,1,7,Mount Noshaq BDK-003 BDK Nature & Adventure
attraction,HLM-002,Qala-e-Bost Arch,qala-e-bost,/attractions/qala-e-bost,SOUTH,HLM,Landmarks,1,7,Qala-e-Bost Arch HLM-002 HLM Landmarks
attraction,KBL-005,Sakhi Shrine,sakhi-shrine-karte-sakhi,/attractions/sakhi-shrine-karte-sakhi,CENTRAL,KBL,Spiritual & Religious,1,7,Sakhi Shrine KBL-005 KBL Spiritual & Religious
attraction,BMY-002,Shahr-e-Gholghola,shahr-e-gholghola,/attractions/shahr-e-gholghola,CENTRAL,BMY,Ancient Civilizations,1,7,Shahr-e-Gholghola BMY-002 BMY Ancient Civilizations
